os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 3 (sniper),AMD Ryzen 7 9800X3D 8-Core Processor,AMD Radeon RX 9070 XT (RADV GFX1201),65438132,6.17.8-2-cachyos,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
247.638,4.03816,21.2928,0,87,56,50,3111,1358,4.93295,258,10.7278,0,0,10740619264
280.565,3.56424,21.6792,0,87,56,50,3122,1358,4.93295,250,10.731,0,0,10840715217
243.677,4.10379,21.6792,0,87,56,50,3122,1358,4.93295,250,10.731,0,0,10940791132
222.685,4.49065,21.6792,0,87,56,50,3122,1358,4.93295,250,10.731,0,0,11040857118
302.694,3.30367,21.6792,0,87,56,50,3122,1358,4.93295,250,10.731,0,0,11140934386
247.484,4.04067,21.6792,0,87,56,50,3122,1358,4.93295,250,10.731,0,0,11241039055
243.112,4.11334,21.1929,0,86,56,50,3120,1358,4.93295,252,10.7302,0,0,11341111023
215.011,4.65091,21.1929,0,86,56,50,3120,1358,4.93295,252,10.7302,0,0,11441178983
251.291,3.97944,21.1929,0,86,56,50,3120,1358,4.93295,252,10.7302,0,0,11541249448
265.358,3.7685,21.1929,0,86,56,50,3120,1358,4.93295,252,10.7302,0,0,11641322317
239.896,4.16848,21.1929,0,86,56,50,3120,1358,4.93295,252,10.7302,0,0,11741391930
227.905,4.3878,22.0828,0,86,56,50,3118,1358,4.93295,252,10.7314,0,0,11841464469
228.821,4.37023,22.0828,0,86,56,50,3118,1358,4.93295,252,10.7314,0,0,11941537849
270.435,3.69775,22.0828,0,86,56,50,3118,1358,4.93295,252,10.7314,0,0,12041593517
229.449,4.35828,22.0828,0,86,56,50,3118,1358,4.93295,252,10.7314,0,0,12141668510
241.999,4.13224,22.0828,0,86,56,50,3118,1358,4.93295,252,10.7314,0,0,12241740357
266.212,3.75641,21.2312,0,85,56,50,3124,1358,4.93295,251,10.7009,0,0,12341815852
232.425,4.30247,21.2312,0,85,56,50,3124,1358,4.93295,251,10.7009,0,0,12441888731
257.995,3.87605,21.2312,0,85,56,50,3124,1358,4.93295,251,10.7009,0,0,12541959166
243.912,4.09984,21.2312,0,85,56,50,3124,1358,4.93295,251,10.7009,0,0,12642029831
262.125,3.81498,21.2312,0,85,56,50,3124,1358,4.93295,251,10.7009,0,0,12742099014
237.22,4.21549,21.8868,0,86,56,50,3124,1358,4.93295,255,10.7011,0,0,12842170230
236.28,4.23227,21.8868,0,86,56,50,3124,1358,4.93295,255,10.7011,0,0,12942238651
227.95,4.38692,21.8868,0,86,56,50,3124,1358,4.93295,255,10.7011,0,0,13042310929
236.025,4.23684,21.8868,0,86,56,50,3124,1358,4.93295,255,10.7011,0,0,13142386854
247.16,4.04596,21.8868,0,86,56,50,3124,1358,4.93295,255,10.7011,0,0,13242457249
229.037,4.3661,22.2362,0,84,56,50,3111,1358,4.93295,254,10.7044,0,0,13342526281
267.311,3.74096,22.2362,0,84,56,50,3111,1358,4.93295,254,10.7044,0,0,13442593470
265.39,3.76804,22.2362,0,84,56,50,3111,1358,4.93295,254,10.7044,0,0,13542662041
244.347,4.09255,22.2362,0,84,56,50,3111,1358,4.93295,254,10.7044,0,0,13642729420
217.969,4.58781,22.2362,0,84,56,50,3111,1358,4.93295,254,10.7044,0,0,13742800617
254.064,3.93602,21.4824,0,86,56,50,3120,1358,4.93295,256,10.703,0,0,13842875330
271.445,3.68398,21.4824,0,86,56,50,3120,1358,4.93295,256,10.703,0,0,13942945925
248.039,4.03162,21.4824,0,86,56,50,3120,1358,4.93295,256,10.703,0,0,14043015788
227.326,4.39897,21.4824,0,86,56,50,3120,1358,4.93295,256,10.703,0,0,14143084961
258.985,3.86123,21.4824,0,86,56,50,3120,1358,4.93295,256,10.703,0,0,14243158692
241.37,4.14301,21.761,0,86,56,50,3096,1358,4.93295,251,10.7039,0,0,14343229708
238.156,4.19893,21.761,0,86,56,50,3096,1358,4.93295,251,10.7039,0,0,14443298339
246.938,4.04961,21.761,0,86,56,50,3096,1358,4.93295,251,10.7039,0,0,14543368033
262.979,3.80258,21.761,0,86,56,50,3096,1358,4.93295,251,10.7039,0,0,14643436514
252.001,3.96824,21.761,0,86,56,50,3096,1358,4.93295,251,10.7039,0,0,14743505706
241.007,4.14925,21.6898,0,85,56,50,3099,1358,4.93295,246,10.695,0,0,14843564800
217.449,4.59878,21.6898,0,85,56,50,3099,1358,4.93295,246,10.695,0,0,14943634864
261.409,3.82542,21.6898,0,85,56,50,3099,1358,4.93295,246,10.695,0,0,15043704537
240.856,4.15186,21.6898,0,85,56,50,3099,1358,4.93295,246,10.695,0,0,15143774471
236.462,4.22901,21.6898,0,85,56,50,3099,1358,4.93295,246,10.695,0,0,15243843924
221.949,4.50553,22.0974,0,84,56,50,3094,1358,4.93295,245,10.6967,0,0,15343921262
261.039,3.83085,22.0974,0,84,56,50,3094,1358,4.93295,245,10.6967,0,0,15443991957
248.53,4.02367,22.0974,0,84,56,50,3094,1358,4.93295,245,10.6967,0,0,15544069235
231.509,4.31948,22.0974,0,84,56,50,3094,1358,4.93295,245,10.6967,0,0,15644139259
220.626,4.53255,22.0974,0,84,56,50,3094,1358,4.93295,245,10.6967,0,0,15744209904
261.029,3.83099,22.0275,0,86,56,50,3113,1358,4.93295,244,10.6924,0,0,15844281030
245.614,4.07144,22.0275,0,86,56,50,3113,1358,4.93295,244,10.6924,0,0,15944353078
244.781,4.08528,22.0275,0,86,56,50,3113,1358,4.93295,244,10.6924,0,0,16044423192
218.654,4.57343,22.0275,0,86,56,50,3113,1358,4.93295,244,10.6924,0,0,16144494218
258.595,3.86704,22.0275,0,86,56,50,3113,1358,4.93295,244,10.6924,0,0,16244553061
234.671,4.26129,21.4555,0,85,56,50,3116,1358,4.93295,252,10.6926,0,0,16344624558
244.696,4.0867,21.4555,0,85,56,50,3116,1358,4.93295,252,10.6926,0,0,16444696887
228.229,4.38156,21.4555,0,85,56,50,3116,1358,4.93295,252,10.6926,0,0,16544772401
278.186,3.59471,21.4555,0,85,56,50,3116,1358,4.93295,252,10.6926,0,0,16644844689
224.93,4.44583,21.4555,0,85,56,50,3116,1358,4.93295,252,10.6926,0,0,16744923871
192.749,5.1881,21.4195,0,86,56,50,3117,1358,4.90756,253,10.6954,0,0,16845020084
234.041,4.27276,21.4195,0,86,56,50,3117,1358,4.90756,253,10.6954,0,0,16945092092
249.949,4.00081,21.4195,0,86,56,50,3117,1358,4.90756,253,10.6954,0,0,17045163869
273.15,3.661,21.4195,0,86,56,50,3117,1358,4.90756,253,10.6954,0,0,17145234214
252.628,3.9584,21.4195,0,86,56,50,3117,1358,4.90756,253,10.6954,0,0,17245318023
232.04,4.30959,21.9573,0,85,56,50,3107,1358,4.90756,251,10.6971,0,0,17345425758
257.598,3.88201,21.9573,0,85,56,50,3107,1358,4.90756,251,10.6971,0,0,17445498638
245.83,4.06785,21.9573,0,85,56,50,3107,1358,4.90756,251,10.6971,0,0,17545539677
236.429,4.22959,21.9573,0,85,56,50,3107,1358,4.90756,251,10.6971,0,0,17645612286
217.82,4.59095,21.9573,0,85,56,50,3107,1358,4.90756,251,10.6971,0,0,17745681529
273.277,3.65929,21.6958,0,85,56,50,3092,1358,4.90756,249,10.6983,0,0,17845754208
241.886,4.13418,21.6958,0,85,56,50,3092,1358,4.90756,249,10.6983,0,0,17945824562
233.759,4.2779,21.6958,0,85,56,50,3092,1358,4.90756,249,10.6983,0,0,18045893965
235.31,4.24971,21.6958,0,85,56,50,3092,1358,4.90756,249,10.6983,0,0,18145964330
252.484,3.96064,21.6958,0,85,56,50,3092,1358,4.90756,249,10.6983,0,0,18246033933
245.412,4.07477,22.0403,0,85,56,50,3107,1358,4.90756,250,10.6972,0,0,18346103386
230.894,4.33099,22.0403,0,85,56,50,3107,1358,4.90756,250,10.6972,0,0,18446174452
286.232,3.49367,22.0403,0,85,56,50,3107,1358,4.90756,250,10.6972,0,0,18546244797
237.902,4.20341,22.0403,0,85,56,50,3107,1358,4.90756,250,10.6972,0,0,18646312927
241.033,4.14881,22.0403,0,85,56,50,3107,1358,4.90756,250,10.6972,0,0,18746382050
221.363,4.51746,22.0828,0,83,56,50,3100,1358,4.90756,249,10.6995,0,0,18846454799
284.779,3.5115,22.0828,0,83,56,50,3100,1358,4.90756,249,10.6995,0,0,18946525294
246.783,4.05214,22.0828,0,83,56,50,3100,1358,4.90756,249,10.6995,0,0,19046597262
239.368,4.17767,22.0828,0,83,56,50,3100,1358,4.90756,249,10.6995,0,0,19146671183
229.871,4.35026,22.0828,0,83,56,50,3100,1358,4.90756,249,10.6995,0,0,19246741758
254.016,3.93675,21.75,0,85,56,50,3125,1358,4.90756,254,10.6983,0,0,19346813285
240.806,4.15272,21.75,0,85,56,50,3125,1358,4.90756,254,10.6983,0,0,19446887056
242.765,4.11921,21.75,0,85,56,50,3125,1358,4.90756,254,10.6983,0,0,19546958062
214.422,4.6637,21.75,0,85,56,50,3125,1358,4.90756,254,10.6983,0,0,19647030951
